company,ma_vtyt_bv,ten_vtyt_bv,ma_hieu,ma_nhom,quy_cach,don_vi_tinh,hang_sx,nuoc_sx,don_gia,dinh_muc,so_luong
Cong Ty TNHH Thiet Bi Y Te ABC,BT001,Bom tiem nhua 1ml,BT-1ML,NK01,1ml,Cai,Terumo,Nhat Ban,1500,500,500
Cong Ty TNHH Thiet Bi Y Te ABC,BT002,Bom tiem nhua 3ml,BT-3ML,NK01,3ml,Cai,Terumo,Nhat Ban,2000,300,300
Cong Ty TNHH Thiet Bi Y Te ABC,BT003,Bom tiem nhua 5ml,BT-5ML,NK01,5ml,Cai,Terumo,Nhat Ban,2500,200,200
Cong Ty TNHH Thiet Bi Y Te ABC,BT004,Bom tiem nhua 10ml,BT-10ML,NK01,10ml,Cai,BD,My,3500,150,150
Cong Ty TNHH Thiet Bi Y Te ABC,GT001,Gang tay kham cao su khong bot size S,GT-S,VT01,100 cai/hop,Hop,Medline,My,85000,20,20
Cong Ty TNHH Thiet Bi Y Te ABC,GT002,Gang tay kham cao su khong bot size M,GT-M,VT01,100 cai/hop,Hop,Medline,My,85000,30,30
Cong Ty TNHH Thiet Bi Y Te ABC,GT003,Gang tay kham cao su khong bot size L,GT-L,VT01,100 cai/hop,Hop,Medline,My,85000,20,20
Cong Ty TNHH Thiet Bi Y Te ABC,KT001,Kim tiem 23G x 1 inch,KT-23G,NK01,100 cai/hop,Hop,BD,My,45000,30,30
Cong Ty TNHH Thiet Bi Y Te ABC,KT002,Kim tiem 25G x 1 inch,KT-25G,NK01,100 cai/hop,Hop,BD,My,45000,20,20
Cong Ty TNHH Thiet Bi Y Te ABC,DT001,Day truyen dich co filter 15 micron,DT-15M,NK02,1 cai,Cai,B.Braun,Duc,12000,200,200
Cong Ty CP Duoc Pham XYZ,BG001,Bang gac vo trung 10x10cm,BG-10X10,VT02,10 mieng/tui,Tui,Hartmann,Duc,8500,100,100
Cong Ty CP Duoc Pham XYZ,BG002,Bang gac vo trung 20x20cm,BG-20X20,VT02,10 mieng/tui,Tui,Hartmann,Duc,15000,80,80
Cong Ty CP Duoc Pham XYZ,BG003,Bong y te khong vo trung 500g,BG-500G,VT02,500g/goi,Goi,Vimedimex,Viet Nam,25000,50,50
Cong Ty CP Duoc Pham XYZ,KB001,Khau trang y te 3 lop (50 cai/hop),KT-3L-50,VT03,50 cai/hop,Hop,3M,My,65000,40,40
Cong Ty CP Duoc Pham XYZ,KB002,Khau trang N95 (20 cai/hop),KT-N95-20,VT03,20 cai/hop,Hop,3M,My,350000,10,10
Cong Ty CP Duoc Pham XYZ,CS001,Con sat khuan Ethanol 70 do 500ml,CS-ET-500,VT04,500ml/chai,Chai,Hanoi Pharma,Viet Nam,35000,60,60
Cong Ty CP Duoc Pham XYZ,CS002,Con sat khuan Iodine 10 do 250ml,CS-IOD-250,VT04,250ml/chai,Chai,DHG Pharma,Viet Nam,28000,40,40
Cong Ty CP Duoc Pham XYZ,OT001,Ong tieu biet ve sinh (tieu),OT-TV,NK03,10 cai/goi,Goi,Bard,My,45000,30,30
Cong Ty TNHH Vat Tu Y Te Mien Nam,DM001,Dao mo so 10 (100 cai/hop),DM-10-100,PT01,100 cai/hop,Hop,Swann-Morton,Anh,380000,5,5
Cong Ty TNHH Vat Tu Y Te Mien Nam,DM002,Dao mo so 22 (100 cai/hop),DM-22-100,PT01,100 cai/hop,Hop,Swann-Morton,Anh,380000,5,5
Cong Ty TNHH Vat Tu Y Te Mien Nam,CS001,Chi phau thuat Vicryl 2-0,CP-VICR-20,PT02,36 cai/hop,Hop,Ethicon,My,1250000,3,3
Cong Ty TNHH Vat Tu Y Te Mien Nam,CS002,Chi phau thuat Prolene 3-0,CP-PROL-30,PT02,36 cai/hop,Hop,Ethicon,My,1350000,3,3
Cong Ty TNHH Vat Tu Y Te Mien Nam,OD001,Ong dan luu nguc (28Fr),OD-28FR,NK04,1 cai,Cai,Portex,Anh,185000,10,10
Cong Ty TNHH Vat Tu Y Te Mien Nam,OD002,Ong noi khi quan co bong (ID 7.5),ONKQ-75,NK04,1 cai,Cai,Mallinckrodt,My,95000,20,20
Cong Ty TNHH Vat Tu Y Te Mien Nam,MT001,May do huyet ap dien tu cang tay,MD-HA-CT,TB01,1 cai,Cai,Omron,Nhat Ban,950000,2,2
Cong Ty TNHH Vat Tu Y Te Mien Nam,MT002,Nhiet ke dien tu dau mem,NK-DT-DM,TB01,1 cai,Cai,Braun,Duc,185000,5,5
